source_term,canonical_zh_cn,status,source_kinds,matched_terms,occurrences
"1, 2, 3, 4","1, 2, 3, 4",untranslated,term_def|bold,,docs/basics/md-interface.md:237|docs/basics/md-interface.md:237
1. **オートフィッティング,1. **オート适配,composed,heading,フィッティング,docs/resources/clo-set-connect.md:42
1. 2Dパターンウィンドウ（左側）,1. 2D版型窗口（左側）,composed,heading,ウィンドウ|パターン,docs/basics/md-interface.md:25
1. Auto-Fit（自動フィッティング）,1. Auto-Fit（自动适配）,composed,bold,Auto|フィッティング|自動,docs/advanced/everywear-integration.md:53
1. CLO-SET Connect連携確認,1. CLO-SET Connect联动确认,composed,bold,CLO-SET Connect|確認|連携,docs/advanced/md2025-features.md:352
1. EveryWear統合システム,1. EveryWear集成システム,composed,heading,EveryWear|統合,docs/advanced/md2025-features.md:35
1. Marvelous Designer段階,1. Marvelous Designer阶段,composed,bold,Marvelous Designer|段階,docs/unity/project-setup.md:26
1. Skinned Mesh Renderer 設定問題,1. Skinned Mesh Renderer 设置问题,composed,bold,Mesh Renderer|Renderer|Skinned Mesh Renderer|問題|設定,docs/workflows/common-issues.md:204
1. T-pose/A-pose 認識問題,1. T-pose/A-pose 识别问题,composed,bold,問題|認識,docs/workflows/common-issues.md:103
1. Trace and Optimizeの実行,1. Trace and Optimizeの执行,composed,bold,Trace and Optimize|実行,docs/optimization/very-poor-escape.md:111
1. Unity統合に進む,1. Unity集成に前往,composed,bold,Unity|統合|進む,docs/garments/t-shirt.md:360
1. Unity統合の完全マスター,1. Unity集成の完全マスター,composed,bold,Unity|統合,docs/garments/swimwear.md:668
1. VCCでの導入,1. VCCでの引入,composed,bold,VCC|導入,docs/optimization/very-poor-escape.md:48
1. VRChat SDK Control Panel - 基本中の基本,1. VRChat SDK Control Panel - 基本中の基本,constrained,heading,Control|Control Panel|Panel|SDK|VRChat,docs/optimization/performance-analysis.md:30
1. パターン（Pattern）,1. 版型（Pattern）,composed,bold,Pattern|パターン,docs/setup/md-first-launch.md:186
1. プリセットの選択,1. 预设の选择,composed,bold,プリセット|選択,docs/physics/fabric-properties.md:150
1. モジュラー ライブラリ（Modular Library）,1. 模块化 资源库（Modular Library）,composed,heading,モジュラー|ライブラリ,docs/workflows/modular-garments.md:14
1. ライセンス問題,1. 许可证问题,composed,bold,ライセンス|問題,docs/workflows/common-issues.md:40
1. 企画・デザイン段階,1. 规划・设计阶段,composed,bold,デザイン|企画|段階,docs/basics/basic-concepts.md:183
1. 制作技術の向上,1. 制作技术の提升,composed,bold,制作|向上|技術,docs/unity/avatar-upload.md:338
1. 最終確認段階,1. 最終确认阶段,composed,bold,段階|確認,docs/unity/avatar-upload.md:29
1. 極めてタイトなフィット要求,1. 極めてタイトなフィット要求,untranslated,bold,,docs/garments/swimwear.md:52
1. 構造がシンプル,1. 结构が简单,composed,bold,シンプル|構造,docs/garments/t-shirt.md:33
100社以上,100社以上,untranslated,bold,,docs/resources/clo-set-connect.md:24
10MB制限への対応,10MB限制への适配,composed,admonition,制限|対応,docs/optimization/mobile-compatibility.md:146
1」,1」,untranslated,bold,,docs/basics/md-interface.md:63
1」「2」「3」「4」,1」「2」「3」「4」,untranslated,bold,,docs/basics/md-interface.md:355
2 by 3」,2 by 3」,untranslated,bold,,docs/setup/unity-vrchat-setup.md:96
2. **自動リギング,2. **自动绑定,composed,heading,リギング|自動,docs/resources/clo-set-connect.md:49
2. 3Dビューポート（右側上部）,2. 3D视口（右側上部）,composed,heading,ビューポート,docs/basics/md-interface.md:46
2. AI機能統合,2. AI機能集成,composed,heading,統合,docs/advanced/md2025-features.md:52
2. Modular Avatar Armature Link 問題,2. Modular Avatar Armature Link 问题,composed,bold,Armature Link|Modular Avatar|問題,docs/workflows/common-issues.md:219
2. Particle Distance の決定,2. Particle Distance の确定,composed,bold,決定,docs/physics/fabric-properties.md:155
2. Rigging Transfer（リギング転送）,2. Rigging Transfer（绑定转移）,composed,bold,Rigging Transfer|リギング|転送,docs/advanced/everywear-integration.md:61
2. Unity Stats Window - リアルタイム監視,2. Unity Stats Window - リアルタイム监控,composed,heading,Unity|Unity Stats Window|Window|監視,docs/optimization/performance-analysis.md:75
2. Unityでの確認,2. Unityでの确认,composed,bold,Unity|確認,docs/optimization/very-poor-escape.md:55
2. Unity技術の深化,2. Unity技术の深化,composed,bold,Unity|技術|深化,docs/unity/avatar-upload.md:343
2. Unity統合段階,2. Unity集成阶段,composed,bold,Unity|段階|統合,docs/unity/project-setup.md:31
2. より複雑な衣装に挑戦,2. より复杂な服装に挑战,composed,bold,挑戦|衣装|複雑,docs/garments/t-shirt.md:364
2. アップロード段階,2. 上传阶段,composed,bold,アップロード|段階,docs/unity/avatar-upload.md:34
2. アバターサイズ・構造問題,2. 头像サイズ・结构问题,composed,bold,アバター|問題|構造,docs/workflows/common-issues.md:117
2. アバターファイル形式確認,2. 头像文件格式确认,composed,bold,アバター|ファイル形式|確認,docs/advanced/md2025-features.md:359
2. システム要件不足,2. 系统要求不足,composed,bold,システム要件|不足,docs/workflows/common-issues.md:50
2. シミュレーション（Simulation）,2. 模拟（Simulation）,composed,bold,Simulation|シミュレーション,docs/setup/md-first-launch.md:191
2. ブロック セット（Block Sets）,2. 块 セット（Block Sets）,composed,heading,ブロック,docs/workflows/modular-garments.md:22
2. モデリング段階,2. 建模阶段,composed,bold,モデリング|段階,docs/basics/basic-concepts.md:188
2. 失敗リスクが低い,2. 失败风险が低,composed,bold,リスク|低い|失敗,docs/garments/t-shirt.md:38
2. 特殊な素材特性,2. 特殊な材料特性,composed,bold,特性|特殊|素材,docs/garments/swimwear.md:57
2. 自動最適化項目,2. 自动优化項目,composed,bold,最適化|自動,docs/optimization/very-poor-escape.md:117
2. 高度な物理シミュレーション,2. 高级な物理模拟,composed,bold,シミュレーション|高度,docs/garments/swimwear.md:672
2024年10月19日更新版対応,2024年10月19日适配更新版,composed,admonition,更新版対応,docs/optimization/very-poor-escape.md:73
2025年,2025年,untranslated,bold,,docs/resources/clo-set-connect.md:223
2025年: 基盤確立期,2025年: 基盤確立期,untranslated,bold,,docs/resources/update-log.md:423
2025年Q2予定,2025年Q2计划,composed,bold,予定,docs/advanced/md2025-features.md:496
2025年Q3-Q4予定,2025年Q3-Q4计划,composed,bold,予定,docs/advanced/md2025-features.md:503
2025年モバイルVR市場の現実,2025年モバイルVR市場の现实,composed,heading,現実,docs/optimization/mobile-compatibility.md:10
2025年ロードマップ,2025年路线图,composed,heading,ロードマップ,docs/advanced/md2025-features.md:492
2025年新機能: Re-target Draping活用,2025年新功能: Re-target Draping活用,composed,admonition,新機能|活用,docs/workflows/avatar-modification.md:135
2025年新機能関連の問題,2025年新功能相关の问题,composed,heading,問題|新機能|関連,docs/workflows/avatar-modification.md:512
2025年時間短縮の内訳,2025年時間短縮の构成,composed,admonition,内訳,docs/workflows/avatar-modification.md:56
2025年現在,2025年当前,composed,bold,現在,docs/optimization/very-poor-escape.md:227
2025年目標,2025年目標,untranslated,bold,,docs/resources/update-log.md:304
2026年: 国際展開期,2026年: 国際展開期,untranslated,bold,,docs/resources/update-log.md:430
2027年: イノベーション期,2027年: イノベーション期,untranslated,bold,,docs/resources/update-log.md:437
2028年: 成熟・影響期,2028年: 成熟・影響期,untranslated,bold,,docs/resources/update-log.md:444
2D Pattern Window」,2D Pattern Window」,constrained,bold,Pattern|Window,docs/setup/md-first-launch.md:84
2D Pattern」,2D Pattern」,constrained,bold,Pattern,docs/garments/t-shirt.md:178|docs/workflows/avatar-modification.md:418|docs/workflows/garment-fitting.md:155
2D Pattern（2Dパターン）メニュー,2D Pattern（2D版型）菜单,composed,heading,Pattern|パターン|メニュー,docs/basics/md-interface.md:174
2Dパターンウィンドウ,2D版型窗口,composed,term_def|bold,ウィンドウ|パターン,docs/basics/md-interface.md:318|docs/basics/md-interface.md:318
2Dパターンウィンドウの練習,2D版型窗口の练习,composed,bold,ウィンドウ|パターン|練習,docs/basics/md-interface.md:357
2Dパターンウィンドウ（左側）,2D版型窗口（左側）,composed,bold,ウィンドウ|パターン,docs/setup/md-first-launch.md:81
2」,2」,untranslated,bold,,docs/basics/md-interface.md:64|docs/basics/md-interface.md:440|docs/workflows/avatar-import.md:78|docs/workflows/avatar-import.md:143
2週間でBOOTH作品を公開できました！」,2週間でBOOTH作品を公開できました！」,untranslated,admonition,,docs/advanced/md2025-features.md:451
3. **テクスチャベーキング,3. **テクスチャベーキング,untranslated,heading,,docs/resources/clo-set-connect.md:56
